Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Aaron Cresswell,"DF,FW",eng ENG,33.0,11,436,0,0,0,0.0,0.0,0.0,0.4,eng Premier League,West Ham
Aaron Hickey,DF,sct SCO,21.0,9,713,0,0,0,0.0,0.0,0.2,0.1,eng Premier League,Brentford
Aaron Malouda,FW,fr FRA,17.0,1,1,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Lille
Aaron Ramsdale,GK,eng ENG,25.0,6,540,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Arsenal
Aaron Ramsey,"MF,FW",eng ENG,20.0,14,527,0,0,0,0.0,0.0,0.3,0.4,eng Premier League,Burnley
Aaron Seydel,FW,de GER,27.0,16,619,1,0,1,0.15,0.0,1.0,0.7,de Bundesliga,Darmstadt 98
Aaron Wan-Bissaka,DF,eng ENG,25.0,22,1780,0,2,2,0.0,0.1,0.1,1.5,eng Premier League,Manchester Utd
Aarón Escandell,GK,es ESP,27.0,2,153,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Las Palmas
Aarón Martín,DF,es ESP,26.0,22,1376,0,1,1,0.0,0.07,0.2,1.7,it Serie A,Genoa
Abakar Sylla,DF,ci CIV,20.0,22,1792,2,0,2,0.1,0.0,1.6,0.5,fr Ligue 1,Strasbourg
Abde Ezzalzouli,FW,ma MAR,21.0,26,865,1,0,1,0.1,0.0,3.0,0.3,es La Liga,Betis
Abde Ezzalzouli,"FW,MF",ma MAR,21.0,2,68,0,0,0,0.0,0.0,0.2,0.1,es La Liga,Barcelona
Abdel Abqar,DF,ma MAR,24.0,27,2312,0,0,0,0.0,0.0,0.5,0.2,es La Liga,Alavés
Abdellah Baallal,MF,ma MAR,18.0,1,4,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Clermont Foot
Abdellah Raihani,FW,ma MAR,19.0,1,10,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Atlético Madrid
Abderrahman Rebbach,"FW,MF",dz ALG,24.0,23,722,1,0,1,0.12,0.0,0.8,1.8,es La Liga,Alavés
Abdou Harroui,"MF,FW",nl NED,25.0,18,1019,3,3,6,0.26,0.26,3.1,1.2,it Serie A,Frosinone
Abdoul Kader Bamba,"FW,MF",fr FRA,29.0,23,611,2,1,3,0.29,0.15,2.1,1.0,fr Ligue 1,Nantes
Abdoul Koné,DF,fr FRA,18.0,3,193,0,0,0,0.0,0.0,0.0,0.7,fr Ligue 1,Reims
Abdoulaye Doucouré,"FW,MF",ml MLI,30.0,32,2629,7,1,8,0.24,0.03,8.8,2.9,eng Premier League,Everton
Abdoulaye Touré,MF,gn GUI,29.0,30,2284,2,0,2,0.08,0.0,3.0,0.9,fr Ligue 1,Le Havre
Abdukodir Khusanov,DF,uz UZB,19.0,11,809,0,0,0,0.0,0.0,0.2,0.1,fr Ligue 1,Lens
Abdul Mumin,DF,gh GHA,25.0,20,1694,1,0,1,0.05,0.0,0.4,0.3,es La Liga,Rayo Vallecano
Abdón Prats,"FW,MF",es ESP,30.0,34,1270,6,1,7,0.43,0.07,3.2,2.4,es La Liga,Mallorca
Ablie Jallow,"MF,FW",gm GAM,24.0,17,918,3,2,5,0.29,0.2,2.0,1.0,fr Ligue 1,Metz
Abner,DF,br BRA,23.0,23,1400,0,1,1,0.0,0.06,0.1,1.0,es La Liga,Betis
Abou Lô,"MF,DF",sn SEN,23.0,6,197,0,0,0,0.0,0.0,0.1,0.3,fr Ligue 1,Metz
Aboubacar Ali,"MF,FW",fr FRA,17.0,9,130,0,1,1,0.0,0.69,0.2,0.1,fr Ligue 1,Strasbourg
Achraf Dari,"DF,FW",ma MAR,24.0,4,121,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Brest
Achraf Hakimi,DF,ma MAR,24.0,25,1932,4,5,9,0.19,0.23,4.2,5.2,fr Ligue 1,Paris S-G
Adam Hložek,"MF,FW",cz CZE,21.0,23,459,2,3,5,0.39,0.59,3.1,0.9,de Bundesliga,Leverkusen
Adam Lallana,"MF,FW",eng ENG,35.0,25,850,0,1,1,0.0,0.11,0.8,1.7,eng Premier League,Brighton
Adam Marušić,DF,me MNE,30.0,37,3100,1,0,1,0.03,0.0,0.4,0.8,it Serie A,Lazio
Adam Masina,DF,ma MAR,29.0,20,1088,0,0,0,0.0,0.0,0.30000000000000004,0.2,"it Serie A, it Serie A","Udinese, Torino"
Adam Obert,DF,sk SVK,20.0,17,941,0,0,0,0.0,0.0,0.1,0.9,it Serie A,Cagliari
Adam Ounas,FW,dz ALG,26.0,17,418,1,0,1,0.22,0.0,0.6,1.9,fr Ligue 1,Lille
Adam Smith,DF,eng ENG,32.0,28,2150,0,2,2,0.0,0.08,0.1,1.3,eng Premier League,Bournemouth
Adam Webster,DF,eng ENG,28.0,15,1144,0,0,0,0.0,0.0,0.4,0.1,eng Premier League,Brighton
Adam Wharton,MF,eng ENG,19.0,16,1297,0,3,3,0.0,0.21,0.3,2.4,eng Premier League,Crystal Palace
Adama Bojang,FW,gm GAM,19.0,9,83,0,0,0,0.0,0.0,1.3,0.0,fr Ligue 1,Reims
Adama Traoré,"FW,MF",es ESP,27.0,17,377,2,3,5,0.48,0.72,1.5,0.7,eng Premier League,Fulham
Adel Mahamoud,FW,km COM,20.0,1,10,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Nantes
Ademola Lookman,"FW,MF",ng NGA,25.0,31,1894,11,7,18,0.52,0.33,9.1,5.2,it Serie A,Atalanta
Adnan Januzaj,"FW,MF",be BEL,28.0,8,193,0,0,0,0.0,0.0,0.6,0.0,es La Liga,Sevilla
Adri Bosch,DF,es ESP,22.0,1,26,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Granada
Adri Embarba,"FW,MF",es ESP,31.0,36,2476,3,2,5,0.11,0.07,4.3,4.4,es La Liga,Almería
Adrian Beck,"MF,FW",de GER,26.0,23,974,1,1,2,0.09,0.09,1.7,0.8,de Bundesliga,Heidenheim
Adrian Grbić,FW,at AUT,26.0,1,31,0,0,0,0.0,0.0,0.1,0.0,fr Ligue 1,Lorient
Adrien Lebeau,"MF,FW",fr FRA,24.0,7,54,0,1,1,0.0,1.67,0.1,0.5,fr Ligue 1,Brest
Adrien Rabiot,MF,fr FRA,28.0,31,2651,5,3,8,0.17,0.1,3.5,4.1,it Serie A,Juventus
Adrien Tameze,"DF,MF",cm CMR,29.0,29,2146,0,2,2,0.0,0.08,0.7,2.2,it Serie A,Torino
Adrien Thomasson,MF,fr FRA,29.0,29,1193,1,2,3,0.08,0.15,3.8,3.9,fr Ligue 1,Lens
Adrien Truffert,DF,fr FRA,21.0,30,2145,1,2,3,0.04,0.08,1.7,1.8,fr Ligue 1,Rennes
Adrià Altimira,"DF,MF",es ESP,22.0,11,775,0,0,0,0.0,0.0,0.0,0.1,es La Liga,Villarreal
Adrià Pedrosa,DF,es ESP,25.0,31,1753,1,4,5,0.05,0.21,0.7,3.2,es La Liga,Sevilla
Adryelson,"DF,FW",br BRA,25.0,2,6,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Lyon
Adson,"MF,FW",br BRA,22.0,8,238,0,0,0,0.0,0.0,0.2,0.1,fr Ligue 1,Nantes
Adu Ares,FW,es ESP,21.0,12,265,0,0,0,0.0,0.0,0.1,0.0,es La Liga,Athletic Club
Agustín Martegani,MF,ar ARG,23.0,18,731,1,0,1,0.12,0.0,0.6,0.5,it Serie A,Salernitana
Ahmed Touba,DF,dz ALG,25.0,6,277,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Lecce
Aiham Ousou,DF,sy SYR,23.0,6,430,0,0,0,0.0,0.0,0.2,0.0,es La Liga,Cádiz
Aihen Muñoz,DF,es ESP,25.0,21,1127,0,2,2,0.0,0.16,0.3,2.0,es La Liga,Real Sociedad
Aimar Oroz,MF,es ESP,21.0,33,2339,2,1,3,0.08,0.04,3.5,1.6,es La Liga,Osasuna
Aingeru Olabarrieta,FW,es ESP,17.0,1,9,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Athletic Club
Ainsley Maitland-Niles,"DF,MF",eng ENG,25.0,23,1432,1,4,5,0.06,0.25,3.0,2.1,fr Ligue 1,Lyon
